neutro	4994	dia trabalh promoca dia vem pse turjericoaco vist jur jur max comjur carto credit vis mast hiperentr outrosrot viagemfeliz mai sext sab doming local ehorari saidafeliz dia mai feliz term ant feliz prac dacauca feliz prac capuan sext retornofeliz dia mai doming horari previst chegadafeliz feliz lug ser visitadosfelizlago azul lago parais pedr fur jericoaco dia sext feir said doterm ant segu pca decauca faz check emcapuan part feliz jijoc concentraca feliz term ant bezerra feliz prac cauca feliz pca docapuan said feliz destin acidad jijoc apo cheg emjijoc far transl jijoc jericoaco veicul traca cheg jer realiz check pous volt feliz horarioide aprove night jer opcoesfelizboat forr turist feir padariasant etc dia sab apo caf damanh caminh ecolog pedrafur pedr furadafeliz icon dejericoaco apo_ir lago azul lago agu doc cristalin cerc porvegetaca nativ retorn oalmoc feliz apo almoc tod estaodisponi pass cidad porvolt feliz_ir apreci sol dun jericoaco oest davil pesc grand dun noperiod lua chei espetacul aindam bonit sol lad luaprate outr bel naturaisd terr apart feliz jant seraserv noit criteri nossoscli var opcoesfeliz boat forr dotur don feir pad santoantoni etc dia doming apo caf damanh acriteri client rot livr feliz_ir almoc emsegu dar cotinu roteirofaz check out feliz seguiremosp lago parais municipi jijoc agu doc transpar cerc enorm dun segu feliz vam faz check list retorn mo pont part inic import felizf disposica dur passei kitd prim socorr farmac onibusexecu completofeliz condicion dvd microfon gelad hosped apart dupl triplos quadrupl tod condicion frigob chuv eletr pse garantefeliztransport hosped segur viag caf manh sab doming almocod sab doming jant sab transl jijoc jericoaco caminhadaecolog pedr fur passei alago azul lago parais transladolago parais jijoc tod serv debord gratuit rot acim cit comtot confort seguranc observaca feliznoss pacot  nao_incluifeliz extr caraterpesso tud  nao_const nossorot term compromiso cas desistenc client cientequ sald posi cubr custosinvest pse crianc acim desel ano idad pag taix detransl pont part jijoc jericoaco val diret embarqu end boa esperanc capuan caucaiacontat feliz contat reservasfeliz overtan mail pse psetur comcnpjfeliz opca feliz sinal garant oagend rest podendoparcel rest jur opca felizs garant oagend rest podendoparcel rest jur opca felizs garant oagend rest podendoparcel rest jur opca combinarqu gost curt qu desej ircurt compartilh 
neutro	4995	
neutro	4996	
neutro	4997	serr 
neutro	4998	
positivo	4999	am sylv mel felizd 
positivo	5000	markh pens grec kkk prox fer promet 
neutro	5001	
positivo	5002	eit precis escondind 
positivo	5003	nic 
positivo	5004	bom 
negativo	5005	quer tant prec sao aut  nao_sei qdo consegu 
positivo	5006	vou quer cheg dia famil 
negativo	5007	fiq chate ont entr brinqued doi amig ped moc  nao_cost  nao_sab nad sab fez mand cost aind fal deix ser retard fiq odio 
negativo	5008	exist quas doi ano falt novidad 
positivo	5009	real excel album filh fic lind recom 
positivo	5010	melhor voc contrat serv fiq satisfeit obrigada 
positivo	5011	arraz beach 
positivo	5012	ame pass dominga vc 
neutro	5013	sim 
positivo	5014	ide boa show bol 
positivo	5015	bom serv 
positivo	5016	 saudade 
neutro	5017	 nao_
positivo	5018	show bol 
positivo	5019	vez legal 
neutro	5020	fac reserv efetu compr bol ganh di 
neutro	5021	quant cust 
positivo	5022	soub contrat ral fotograf filh kkk 
positivo	5023	maravilh quant cust serv 
positivo	5024	sext feir vez ame 
neutro	5025	
positivo	5026	filh am 
negativo	5027	pro bald mat 
positivo	5028	campil fot lembr voc amig saudade bj 
neutro	5029	shirlan dirl 
positivo	5030	vam pessoal hoerlian gisley poly kelry uesley cos 
positivo	5031	
positivo	5032	bom filhot curt aqu show 
neutro	5033	
positivo	5034	sort acompanh pequen bald 
positivo	5035	ador 
positivo	5036	filh ador 
positivo	5037	feliz 
positivo	5038	desc amarel 
positivo	5039	riquelm ador 
neutro	5040	pass 
neutro	5041	auxili 
neutro	5042	vez 
positivo	5043	am 
positivo	5044	feliz 
positivo	5045	filh am 
positivo	5046	legal sobr yay ficav esper balda ench cair munda agu sobr 
positivo	5047	boa opca 
positivo	5048	mass 
positivo	5049	ador 
positivo	5050	brinqued max 
positivo	5051	delic boi amo sao suav tod felizd 
positivo	5052	show amo amo est sext 
positivo	5053	sei vou consegu cheg divert quis 
positivo	5054	ansi feliz 
positivo	5055	delic 
positivo	5056	 saudade 
positivo	5057	show 
positivo	5058	peg boi burgues 
neutro	5059	
positivo	5060	ramu brink bom 
neutro	5061	brinqued 
positivo	5062	show demal adoro 
positivo	5063	bom 
positivo	5064	 insano am sylv felizd 
positivo	5065	oba falt seman 
positivo	5066	vou volt ame 
positivo	5067	lind 
positivo	5068	show 
positivo	5069	julh prai espetacul 
positivo	5070	linda 
positivo	5071	desej 
neutro	5072	
positivo	5073	est brev cheg dia 
positivo	5074	quer nov feliz steferson amarogracian kely 
positivo	5075	ros verd capsul lov 
neutro	5076	vik judah 
positivo	5077	bor 
positivo	5078	maravilh 
positivo	5079	arrep lov nov 
positivo	5080	espec tribuc cheg 
positivo	5081	lov 
ambiguo	5082	top porqu  nao_
ambiguo	5083	olh polisel polizel top kkk 
positivo	5084	 saudade 
neutro	5085	ano vem est 
positivo	5086	saldad feliz 
positivo	5087	maravilh 
positivo	5088	arrep melhor 
positivo	5089	maravilho quer volt uma vez 
neutro	5090	pro cim destin oliveira 
positivo	5091	vou nov 
positivo	5092	legal arrep bem alt 
neutro	5093	
positivo	5094	amo lug 
positivo	5095	bom ame 
positivo	5096	 bomdemais  
neutro	5097	briq rox verd quer capisul 
positivo	5098	necessito 
positivo	5099	uhu  bomdemais  
positivo	5100	show 
positivo	5101	esper lind 
positivo	5102	
positivo	5103	doming nov tam 
neutro	5104	bertass 
neutro	5105	
positivo	5106	vou uhu 
positivo	5107	recom top 
positivo	5108	 nao_apaixon 
positivo	5109	melhor impossi 
positivo	5110	park marc vej vc 
positivo	5111	bom kkk 
positivo	5112	cham fot nov brinqued quer nov hah 
positivo	5113	uia 
positivo	5114	beautiful plac lik 
positivo	5115	amo glician imagin noil desc daqu adrenalin princes lov 
positivo	5116	adoro 
positivo	5117	top 
neutro	5118	
neutro	5119	menos capsul 
positivo	5120	tod mass 
neutro	5121	
positivo	5122	fich am sylv felizd 
positivo	5123	demal 
positivo	5124	lind lug 
positivo	5125	vam 
positivo	5126	inesqueci apost nunc esquec 
positivo	5127	noix vm hah lov 
positivo	5128	
positivo	5129	rox lov mass fiq rind demal sei 
neutro	5130	
positivo	5131	ame 
positivo	5132	polian moraab  nao_vej hor 
positivo	5133	long felizd sov feliz feliz 
neutro	5134	maklouf 
positivo	5135	mow bor nov uau 
ambiguo	5136	pen quer fot 
positivo	5137	 saudade 
positivo	5138	delic 
positivo	5139	bom 
positivo	5140	mikaelin feit querofeliz 
positivo	5141	lov corrent encant lov 
neutro	5142	rio lent 
positivo	5143	quer bi 
positivo	5144	adooro corrent 
positivo	5145	oooh saudade lug maravilh 
positivo	5146	bom 
positivo	5147	sonh saudade 
positivo	5148	precis relax jurun efamil 
positivo	5149	sonh 
positivo	5150	ooho saudases 
positivo	5151	amo feliz 
positivo	5152	aind vou nees park 
positivo	5153	piscin corrent mass 
positivo	5154	marian rim demal corrent encant kkk 
positivo	5155	bom relaxa 
positivo	5156	hahahahah quer ilustraca assim gent 
positivo	5157	hahah ador 
positivo	5158	 insano imag park aqua hor conhec pen ter desc insano sub tir fot visul aut desc esc corag feliz sab prox felizd 
positivo	5159	ihul hooj asins tayn 
positivo	5160	maravilhoso ame adrenalin pura 
positivo	5161	bor dnv 
neutro	5162	
positivo	5163	bor 
neutro	5164	perot 
positivo	5165	 nao_arreg hah tayn 
positivo	5166	santesfern sant aqu feliz 
positivo	5167	vam mikaelin feit 
positivo	5168	desc show 
neutro	5169	marquin denys evany 
positivo	5170	amanh est 
positivo	5171	 saudade 
positivo	5172	kkkk 
positivo	5173	coraca mao 
positivo	5174	vou 
positivo	5175	eun top 
sentiment	id	text 
positivo	5176	
neutro	5177	lary 
positivo	5178	 nao_corag 
neutro	5179	gad 
positivo	5180	vontad biack 
positivo	5181	falt corag kkkk 
positivo	5182	lug fantas 
positivo	5183	bem am 
positivo	5184	looucura beach proporc saudade 
positivo	5185	 nao_corag feliz 
neutro	5186	chicosk chicosk hah 
ambiguo	5187	 insano horripil ten saudade 
positivo	5188	 insano melhor 
positivo	5189	quer hah 
positivo	5190	muint bom 
positivo	5191	 insano 
neutro	5192	tamil 
neutro	5193	lar 
positivo	5194	otim bom 
positivo	5195	bom 
positivo	5196	huhuhu 
positivo	5197	maravilhoss 
negativo	5198	part tens sub escad 
positivo	5199	mto man 
positivo	5200	 insano 
positivo	5201	bom 
positivo	5202	lembr beach park 
positivo	5203	
positivo	5204	top demal qro dinov 
positivo	5205	amo 
positivo	5206	adrenalin 
positivo	5207	cheg log log 
positivo	5208	julh est 
positivo	5209	bom 
positivo	5210	vam 
negativo	5211	
positivo	5212	md quer 
negativo	5213	nunc vou porr 
positivo	5214	ame 
neutro	5215	lembr 
positivo	5216	melhor park aqua 
neutro	5217	interess adquir carta card mai esclarec algum duvid disposica lig favor envi email coloqu email comentari abaix mand propost carta compromiss abc tod sucess porqu ond ser feliz agor hotel consult vend carta card tim emailfeliz damascen beachpark 
positivo	5218	med pass diret magr kkk 
positivo	5219	vou denov beachpark amodem insano 
positivo	5220	aventur 
